accX,accZ,accY,label
0.07,-0.23,-0.62,1
0.09,-0.4,-0.19,1
-0.2,-0.49,-0.27,1
0.12,0.9,0.79,1
0.18,-0.3,0.78,1
0.03,-0.44,-0.2,1
-0.61,0.49,1.83,1
0.14,-0.22,0.89,1
-0.19,0.32,0.06,1
-0.35,-0.42,1.14,1
0.08,-0.12,-0.35,1
0.3,0.66,0.79,1
0.12,-0.5,0.82,1
-0.05,-0.48,0.85,1
-0.53,-0.39,1.12,1
0,0.18,0.86,1
-0.2,0.2,1.12,1
0.16,0.3,1.52,1
0.02,0.07,0.9,1
0.07,-0.03,0.14,1
-0.28,0.39,1.47,1
-0.24,0.09,1.34,1
-0.08,-0.36,-0.35,1
0.08,-0.39,0.03,1
-0.09,0.02,1.32,1
-0.03,0.1,1.38,1
-0.31,0.33,1.3,1
0.05,-0.27,0.26,1
0,-0.22,-0.01,1
0.19,-0.08,0.18,1
0.84,0.02,2,1
0.47,-0.23,2,1
0.23,-0.2,0.06,1
0.22,-0.08,1.51,1
0.05,0.24,1.91,1
-0.33,-0.24,-0.49,1
0.18,-0.17,1.16,1
0.01,-0.07,0.62,1
-0.32,-0.13,1.64,1
0.21,0.07,0.27,1
-0.12,-0.26,0.76,1
-0.17,-0.19,0.44,1
-0.05,-0.37,1.87,1
-0.32,-0.16,1.21,1
-0.31,-1.37,2,1
-0.2,-0.76,1.64,1
-0.27,-1.29,1.57,1
-0.33,0.31,1.86,1
-0.2,-0.17,1.24,1
-0.07,0,1.3,1
-0.14,-0.01,0.72,1
0.09,-0.33,0.98,1
0.17,-0.18,-0.21,1
-0.15,0.22,0.05,1
-0.08,-0.26,0.93,1
0.2,-0.23,0.79,1
0.08,-0.56,1.16,1
0.23,0.01,1.6,1
0.22,-0.09,0.62,1
-0.17,-0.19,0.05,1
0.08,0.22,0.78,1
0.5,0.09,1.52,1
-0.14,-0.03,0.29,1
0.11,0.24,0.32,1
-0.39,0.11,1.27,1
-0.44,0.18,0.34,1
-0.52,0.55,-1.16,1
-0.02,0.27,-0.36,1
0.29,0.32,-0.53,1
0.11,-0.16,1.02,1
0.46,-0.37,1.94,1
0.58,-0.03,1.86,1
-0.13,0.19,1.2,1
0.14,-0.37,-0.1,1
0.36,-0.68,-0.7,1
-0.12,0.46,0.88,1
0.46,-0.54,-0.25,1
0.02,0.11,0.1,1
0.66,-0.49,-0.33,1
0.1,-0.11,-0.82,1
-0.07,-0.02,0.96,0
-0.07,-0.01,0.99,0
-0.05,-0.01,0.97,0
-0.06,-0.01,0.94,0
-0.05,-0.01,0.93,0
-0.04,0,0.99,0
-0.06,-0.01,0.97,0
-0.06,-0.01,0.97,0
-0.05,0,0.97,0
-0.08,-0.02,0.97,0
-0.09,-0.02,0.95,0
-0.09,-0.02,0.94,0
-0.07,-0.01,0.98,0
-0.08,-0.02,0.95,0
-0.05,0,0.98,0
-0.08,-0.02,0.97,0
-0.09,-0.02,0.96,0
-0.07,-0.01,0.98,0
-0.06,0,0.95,0
-0.06,0.01,0.99,0
-0.08,-0.02,0.95,0
-0.07,-0.01,0.99,0
-0.06,0,1,0
-0.06,-0.01,0.96,0
-0.06,-0.01,0.96,0
-0.06,-0.01,0.99,0
-0.08,-0.02,0.98,0
-0.07,0,0.98,0
-0.07,-0.01,0.96,0
-0.08,0,0.99,0
-0.07,-0.02,0.96,0
-0.08,-0.02,0.96,0
-0.08,-0.02,0.97,0
-0.09,-0.02,0.95,0
-0.07,-0.02,0.96,0
-0.08,-0.02,0.96,0
-0.08,-0.01,0.97,0
-0.07,-0.01,0.95,0
-0.05,-0.01,0.97,0
-0.05,0,0.97,0
-0.08,-0.01,0.98,0
-0.05,0,1.01,0
-0.06,-0.01,0.99,0
-0.08,0,0.97,0
-0.05,0,0.99,0
-0.08,-0.01,0.94,0
-0.07,-0.02,0.93,0
-0.09,-0.02,0.94,0
-0.09,-0.01,0.98,0
-0.09,-0.02,0.95,0
-0.09,-0.02,0.94,0
-0.07,-0.01,0.97,0
-0.07,-0.02,0.97,0
-0.09,-0.02,0.97,0
-0.06,0,0.99,0
-0.08,-0.02,0.95,0
-0.06,-0.01,0.98,0
-0.08,-0.01,0.95,0
-0.08,-0.02,0.96,0
-0.06,-0.01,0.95,0
-0.08,-0.01,0.94,0
-0.07,-0.02,0.97,0
-0.07,-0.02,0.94,0
-0.05,-0.01,0.98,0
-0.06,-0.02,0.96,0
-0.06,0.01,0.99,0
-0.08,-0.02,0.95,0
-0.06,0,0.99,0
-0.07,-0.01,0.94,0
-0.07,-0.02,0.95,0
-0.08,-0.02,0.96,0
-0.04,0,0.99,0
-0.09,-0.03,0.94,0
-0.08,-0.01,0.97,0
-0.06,-0.01,0.97,0
-0.09,-0.02,0.94,0
-0.08,-0.01,0.97,0
-0.08,-0.01,0.95,0
-0.07,-0.02,0.93,0
-0.05,0,0.96,0
